Date,Open,High,Low,Close,Volume,BBUp,BBMedia,BBDown,RSI,BBSignal,RSISignal,Decision
2022-10-17 10:00:00,29.19,29.24,28.9,28.98,4712,,,,,0,0,Wait
2022-10-17 10:15:00,28.98,29.18,28.96,29.17,2972,,,,,0,0,Wait
2022-10-17 10:30:00,29.15,29.28,29.03,29.12,6197,,,,,0,0,Wait
2022-10-17 10:45:00,29.12,29.16,28.98,29.0,3346,,,,,0,0,Wait
2022-10-17 11:00:00,29.02,29.11,28.84,29.09,4439,,,,,0,0,Wait
2022-10-17 11:15:00,29.09,29.14,28.95,29.12,5924,,,,,0,0,Wait
2022-10-17 11:30:00,29.12,29.19,29.04,29.1,7621,,,,,0,0,Wait
2022-10-17 11:45:00,29.1,29.19,28.98,29.17,7501,,,,,0,0,Wait
2022-10-17 12:00:00,29.18,29.99,29.18,29.83,12503,,,,,0,0,Wait
2022-10-17 12:15:00,29.82,29.84,29.61,29.69,4278,,,,,0,0,Wait
2022-10-17 12:30:00,29.69,29.76,29.6,29.76,4055,,,,,0,0,Wait
2022-10-17 12:45:00,29.76,29.81,29.67,29.8,3127,,,,,0,0,Wait
2022-10-17 13:00:00,29.8,29.86,29.73,29.77,5019,,,,,0,0,Wait
2022-10-17 13:15:00,29.77,29.92,29.77,29.82,4123,30.074723650169894,29.387142857142855,28.699562064115817,,0,0,Wait
2022-10-17 13:30:00,29.82,29.84,29.63,29.7,3688,30.103997485121305,29.438571428571425,28.773145372021546,71.4285714285714,0,1,Wait
2022-10-17 13:45:00,29.7,29.73,29.65,29.66,3049,30.130299558573068,29.473571428571425,28.816843298569783,69.64285714285715,0,1,Wait
2022-10-17 14:00:00,29.66,29.66,29.55,29.56,3617,30.132500711440066,29.504999999999995,28.877499288559925,65.2509652509652,0,1,Wait
2022-10-17 14:15:00,29.56,29.62,29.49,29.58,4023,30.108242325157118,29.546428571428567,28.984614817700017,65.7166298763454,0,1,Wait
2022-10-17 14:30:00,29.58,29.61,29.45,29.48,3074,30.07853702837008,29.57428571428571,29.070034400201344,61.29378573040341,0,1,Wait
2022-10-17 14:45:00,29.49,29.49,29.38,29.48,3191,30.041814440688647,29.599999999999998,29.15818555931135,61.29378573040341,0,1,Wait
2022-10-17 15:00:00,29.48,29.49,29.37,29.38,3755,29.988781778293518,29.619999999999997,29.251218221706477,56.85594604738724,0,1,Wait
2022-10-17 15:15:00,29.38,29.46,29.35,29.4,3691,29.93791130184148,29.636428571428564,29.334945841015646,57.518422547701284,0,1,Wait
2022-10-17 15:30:00,29.4,29.43,29.27,29.33,3971,29.91995125866725,29.60071428571428,29.281477312761307,54.371585516027345,0,1,Wait
2022-10-17 15:45:00,29.33,29.45,29.29,29.45,3457,29.907529727730672,29.58357142857142,29.25961312941217,58.55741919228813,0,1,Wait
2022-10-17 16:00:00,29.44,29.52,29.35,29.37,3919,29.88126562340344,29.55571428571428,29.23016294802512,54.938985258219105,0,1,Wait
2022-10-17 16:15:00,29.37,29.5,29.34,29.46,4218,29.83007859526411,29.531428571428563,29.232778547593018,58.07749278030821,0,1,Wait
2022-10-17 16:30:00,29.44,29.48,29.39,29.45,3114,29.778265132390658,29.508571428571422,29.238877724752186,57.59746348936675,0,1,Wait
2022-10-17 16:45:00,29.44,29.46,29.33,29.33,3137,29.695460350962676,29.47357142857142,29.251682506180167,52.039000076197524,0,1,Wait
