Date,Decision
2022-10-17 10:00:00,Wait
2022-10-17 10:15:00,Wait
2022-10-17 10:30:00,Wait
2022-10-17 10:45:00,Wait
2022-10-17 11:00:00,Wait
2022-10-17 11:15:00,Wait
2022-10-17 11:30:00,Wait
2022-10-17 11:45:00,Wait
2022-10-17 12:00:00,Wait
2022-10-17 12:15:00,Wait
2022-10-17 12:30:00,Wait
2022-10-17 12:45:00,Wait
2022-10-17 13:00:00,Wait
2022-10-17 13:15:00,Wait
2022-10-17 13:30:00,Wait
2022-10-17 13:45:00,Wait
2022-10-17 14:00:00,Wait
2022-10-17 14:15:00,Wait
2022-10-17 14:30:00,Wait
2022-10-17 14:45:00,Wait
2022-10-17 15:00:00,Wait
2022-10-17 15:15:00,Wait
2022-10-17 15:30:00,Sell
2022-10-17 15:45:00,Sell
2022-10-17 16:00:00,Wait
2022-10-17 16:15:00,Wait
2022-10-17 16:30:00,Wait
2022-10-17 16:45:00,Wait
2022-10-18 10:00:00,Sell
2022-10-18 10:15:00,Sell
2022-10-18 10:30:00,Sell
2022-10-18 10:45:00,Wait
2022-10-18 11:00:00,Wait
2022-10-18 11:15:00,Wait
2022-10-18 11:30:00,Wait
2022-10-18 11:45:00,Wait
2022-10-18 12:00:00,Wait
2022-10-18 12:15:00,Wait
2022-10-18 12:30:00,Wait
2022-10-18 12:45:00,Wait
2022-10-18 13:00:00,Wait
2022-10-18 13:15:00,Wait
2022-10-18 13:30:00,Wait
2022-10-18 13:45:00,Wait
2022-10-18 14:00:00,Wait
2022-10-18 14:15:00,Wait
2022-10-18 14:30:00,Wait
2022-10-18 14:45:00,Sell
2022-10-18 15:00:00,Wait
2022-10-18 15:15:00,Wait
2022-10-18 15:30:00,Wait
2022-10-18 15:45:00,Wait
2022-10-18 16:00:00,Wait
2022-10-18 16:15:00,Wait
2022-10-18 16:30:00,Wait
2022-10-18 16:45:00,Wait
2022-10-19 10:00:00,Wait
2022-10-19 10:15:00,Wait
2022-10-19 10:30:00,Wait
2022-10-19 10:45:00,Wait
2022-10-19 11:00:00,Wait
2022-10-19 11:15:00,Sell
2022-10-19 11:30:00,Wait
2022-10-19 11:45:00,Wait
2022-10-19 12:00:00,Wait
2022-10-19 12:15:00,Wait
2022-10-19 12:30:00,Wait
2022-10-19 12:45:00,Wait
2022-10-19 13:00:00,Sell
2022-10-19 13:15:00,Wait
2022-10-19 13:30:00,Wait
2022-10-19 13:45:00,Wait
2022-10-19 14:00:00,Wait
2022-10-19 14:15:00,Wait
2022-10-19 14:30:00,Wait
2022-10-19 14:45:00,Wait
2022-10-19 15:00:00,Wait
2022-10-19 15:15:00,Wait
2022-10-19 15:30:00,Wait
2022-10-19 15:45:00,Sell
2022-10-19 16:00:00,Wait
2022-10-19 16:15:00,Sell
2022-10-19 16:30:00,Sell
2022-10-19 16:45:00,Wait
2022-10-20 10:00:00,Sell
2022-10-20 10:15:00,Sell
2022-10-20 10:30:00,Sell
2022-10-20 10:45:00,Wait
2022-10-20 11:00:00,Wait
2022-10-20 11:15:00,Wait
2022-10-20 11:30:00,Wait
2022-10-20 11:45:00,Wait
2022-10-20 12:00:00,Wait
2022-10-20 12:15:00,Wait
2022-10-20 12:30:00,Wait
2022-10-20 12:45:00,Wait
2022-10-20 13:00:00,Wait
2022-10-20 13:15:00,Wait
2022-10-20 13:30:00,Wait
2022-10-20 13:45:00,Wait
2022-10-20 14:00:00,Wait
2022-10-20 14:15:00,Wait
2022-10-20 14:30:00,Wait
2022-10-20 14:45:00,Wait
2022-10-20 15:00:00,Wait
2022-10-20 15:15:00,Wait
2022-10-20 15:30:00,Wait
2022-10-20 15:45:00,Wait
2022-10-20 16:00:00,Wait
2022-10-20 16:15:00,Wait
2022-10-20 16:30:00,Wait
2022-10-20 16:45:00,Wait
2022-10-21 10:00:00,Wait
2022-10-21 10:15:00,Wait
2022-10-21 10:30:00,Wait
2022-10-21 10:45:00,Sell
2022-10-21 11:00:00,Sell
2022-10-21 11:15:00,Sell
2022-10-21 11:30:00,Wait
2022-10-21 11:45:00,Wait
2022-10-21 12:00:00,Wait
2022-10-21 12:15:00,Wait
2022-10-21 12:30:00,Wait
2022-10-21 12:45:00,Wait
2022-10-21 13:00:00,Wait
2022-10-21 13:15:00,Wait
2022-10-21 13:30:00,Wait
2022-10-21 13:45:00,Wait
2022-10-21 14:00:00,Wait
2022-10-21 14:15:00,Wait
2022-10-21 14:30:00,Wait
2022-10-21 14:45:00,Wait
2022-10-21 15:00:00,Sell
2022-10-21 15:15:00,Sell
2022-10-21 15:30:00,Sell
2022-10-21 15:45:00,Wait
2022-10-21 16:00:00,Sell
2022-10-21 16:15:00,Sell
2022-10-21 16:30:00,Wait
2022-10-21 16:45:00,Wait
2022-10-24 10:00:00,Wait
2022-10-24 10:15:00,Wait
2022-10-24 10:30:00,Wait
2022-10-24 10:45:00,Wait
2022-10-24 11:00:00,Wait
2022-10-24 11:15:00,Wait
2022-10-24 11:30:00,Wait
2022-10-24 11:45:00,Wait
2022-10-24 12:00:00,Wait
2022-10-24 12:15:00,Wait
2022-10-24 12:30:00,Wait
2022-10-24 12:45:00,Wait
2022-10-24 13:00:00,Wait
2022-10-24 13:15:00,Wait
2022-10-24 13:30:00,Wait
2022-10-24 13:45:00,Wait
2022-10-24 14:00:00,Buy
2022-10-24 14:15:00,Wait
2022-10-24 14:30:00,Wait
2022-10-24 14:45:00,Wait
2022-10-24 15:00:00,Wait
2022-10-24 15:15:00,Wait
2022-10-24 15:30:00,Wait
2022-10-24 15:45:00,Wait
2022-10-24 16:00:00,Wait
2022-10-24 16:15:00,Wait
2022-10-24 16:30:00,Wait
2022-10-24 16:45:00,Wait
2022-10-25 10:00:00,Buy
2022-10-25 10:15:00,Buy
2022-10-25 10:30:00,Wait
2022-10-25 10:45:00,Wait
2022-10-25 11:00:00,Wait
2022-10-25 11:15:00,Wait
2022-10-25 11:30:00,Wait
2022-10-25 11:45:00,Wait
2022-10-25 12:00:00,Wait
2022-10-25 12:15:00,Wait
2022-10-25 12:30:00,Wait
2022-10-25 12:45:00,Wait
2022-10-25 13:00:00,Wait
2022-10-25 13:15:00,Wait
2022-10-25 13:30:00,Wait
2022-10-25 13:45:00,Wait
2022-10-25 14:00:00,Wait
2022-10-25 14:15:00,Wait
2022-10-25 14:30:00,Wait
2022-10-25 14:45:00,Wait
2022-10-25 15:00:00,Wait
2022-10-25 15:15:00,Wait
2022-10-25 15:30:00,Wait
2022-10-25 15:45:00,Wait
2022-10-25 16:00:00,Wait
2022-10-25 16:15:00,Wait
2022-10-25 16:30:00,Wait
2022-10-25 16:45:00,Buy
2022-10-26 10:00:00,Buy
2022-10-26 10:15:00,Buy
2022-10-26 10:30:00,Wait
2022-10-26 10:45:00,Wait
2022-10-26 11:00:00,Wait
2022-10-26 11:15:00,Wait
2022-10-26 11:30:00,Wait
2022-10-26 11:45:00,Wait
2022-10-26 12:00:00,Wait
2022-10-26 12:15:00,Wait
2022-10-26 12:30:00,Wait
2022-10-26 12:45:00,Wait
2022-10-26 13:00:00,Wait
2022-10-26 13:15:00,Wait
2022-10-26 13:30:00,Wait
2022-10-26 13:45:00,Buy
2022-10-26 14:00:00,Wait
2022-10-26 14:15:00,Wait
2022-10-26 14:30:00,Wait
2022-10-26 14:45:00,Wait
2022-10-26 15:00:00,Wait
2022-10-26 15:15:00,Wait
2022-10-26 15:30:00,Wait
2022-10-26 15:45:00,Buy
2022-10-26 16:00:00,Buy
2022-10-26 16:15:00,Buy
2022-10-26 16:30:00,Wait
2022-10-26 16:45:00,Wait
2022-10-27 10:00:00,Wait
2022-10-27 10:15:00,Wait
2022-10-27 10:30:00,Wait
